DATE_TIME;ROOT_DISK_SIZE_VALUE;ROOT_DISK_USED_VALUE;ROOT_DISK_FREE
27-04-24 19:49;51123825;17660414;33463411
27-04-24 19:54;51123825;17660417;33463408
27-04-24 19:59;51123825;17660417;33463408
27-04-24 20:04;51123825;17660418;33463407
27-04-24 20:09;51123825;17660419;33463406
27-04-24 20:14;51123825;17660420;33463405
27-04-24 20:19;51123825;17660415;33463410
27-04-24 20:24;51123825;17660421;33463404
27-04-24 20:29;51123825;17660421;33463404
27-04-24 20:34;51123825;17660424;33463401
27-04-24 20:39;51123825;17660424;33463401
27-04-24 20:44;51123825;17660425;33463400
27-04-24 20:49;51123825;17660425;33463400
27-04-24 20:54;51123825;17660426;33463399
27-04-24 20:59;51123825;17660426;33463399
27-04-24 21:04;51123825;17660429;33463396
27-04-24 21:09;51123825;17631466;33492359
27-04-24 21:14;51123825;17762527;33361298
27-04-24 21:19;51123825;17632631;33491194
27-04-24 21:24;51123825;17763696;33360129
27-04-24 21:29;51123825;17763696;33360129
27-04-24 21:34;51123825;17763703;33360122
27-04-24 21:39;51123825;17763698;33360127
27-04-24 21:44;51123825;17763704;33360121
27-04-24 21:49;51123825;17763700;33360125
27-04-24 21:54;51123825;17763704;33360121
27-04-24 21:59;51123825;17763701;33360124
27-04-24 22:04;51123825;17763705;33360120
27-04-24 22:09;51123825;17763704;33360121
27-04-24 22:14;51123825;17763717;33360108
27-04-24 22:19;51123825;17763706;33360119
27-04-24 22:24;51123825;17769610;33354215
27-04-24 22:29;51123825;17769595;33354230
27-04-24 22:34;51123825;17769611;33354214
27-04-24 22:39;51123825;17769597;33354228
27-04-24 22:44;51123825;17769611;33354214
27-04-24 22:49;51123825;17769599;33354226
27-04-24 22:54;51123825;17769612;33354213
27-04-24 22:59;51123825;17769601;33354224
27-04-24 23:04;51123825;17769612;33354213
27-04-24 23:09;51123825;17769602;33354223
27-04-24 23:14;51123825;17769613;33354212
27-04-24 23:19;51123825;17769605;33354220
27-04-24 23:24;51123825;17769629;33354196
27-04-24 23:29;51123825;17769601;33354224
27-04-24 23:34;51123825;17769613;33354212
27-04-24 23:39;51123825;17769607;33354218
27-04-24 23:44;51123825;17769614;33354211
27-04-24 23:49;51123825;17769610;33354215
27-04-24 23:54;51123825;17769438;33354387
27-04-24 23:59;51123825;17769435;33354390
28-04-24 00:04;51123825;17769438;33354387
28-04-24 00:09;51123825;17769444;33354381
28-04-24 00:14;51123825;17773191;33350634
28-04-24 00:19;51123825;17773191;33350634
28-04-24 00:24;51123825;17773192;33350633
28-04-24 00:29;51123825;17773192;33350633
28-04-24 00:34;51123825;17773195;33350630
28-04-24 00:39;51123825;17773195;33350630
28-04-24 00:44;51123825;17773196;33350629
28-04-24 00:49;51123825;17773196;33350629
28-04-24 00:54;51123825;17781677;33342148
28-04-24 00:59;51123825;17781677;33342148
28-04-24 01:04;51123825;17782831;33340994
28-04-24 01:09;51123825;17782851;33340974
28-04-24 01:14;51123825;17784034;33339791
28-04-24 01:19;51123825;17784034;33339791
28-04-24 01:24;51123825;17785203;33338622
28-04-24 01:29;51123825;17785203;33338622
28-04-24 01:34;51123825;17786405;33337420
28-04-24 01:39;51123825;17786405;33337420
28-04-24 01:44;51123825;17787574;33336251
28-04-24 01:49;51123825;17787574;33336251
28-04-24 01:54;51123825;17788727;33335098
28-04-24 01:59;51123825;17788727;33335098
28-04-24 02:04;51123825;17789911;33333914
28-04-24 02:09;51123825;17789882;33333943
28-04-24 02:14;51123825;17791065;33332760
28-04-24 02:19;51123825;17791051;33332774
28-04-24 02:24;51123825;17792218;33331607
28-04-24 02:29;51123825;17792224;33331601
28-04-24 02:34;51123825;17793327;33330498
28-04-24 02:39;51123825;17793327;33330498
28-04-24 02:44;51123825;17794481;33329344
28-04-24 02:49;51123825;17794481;33329344
28-04-24 02:54;51123825;17794504;33329321
28-04-24 02:59;51123825;17794483;33329342
28-04-24 03:04;51123825;17794496;33329329
28-04-24 03:09;51123825;17794485;33329340
28-04-24 03:14;51123825;17794493;33329332
28-04-24 03:19;51123825;17794486;33329339
28-04-24 03:24;51123825;17794493;33329332
28-04-24 03:29;51123825;17799081;33324744
28-04-24 03:34;51123825;17799084;33324741
28-04-24 03:39;51123825;17799084;33324741
28-04-24 03:44;51123825;17799085;33324740
28-04-24 03:49;51123825;17799085;33324740
28-04-24 03:54;51123825;17799086;33324739
28-04-24 03:59;51123825;17799086;33324739
28-04-24 04:04;51123825;17799089;33324736
28-04-24 04:09;51123825;17799089;33324736
28-04-24 04:14;51123825;17799090;33324735
28-04-24 04:19;51123825;17799090;33324735
28-04-24 04:24;51123825;17799092;33324733
28-04-24 04:29;51123825;17799092;33324733
28-04-24 04:34;51123825;17799093;33324732
28-04-24 04:39;51123825;17799093;33324732
28-04-24 04:44;51123825;17799097;33324728
28-04-24 04:49;51123825;17799097;33324728
28-04-24 04:54;51123825;17799098;33324727
28-04-24 04:59;51123825;17799098;33324727
28-04-24 05:04;51123825;17799106;33324719
28-04-24 05:09;51123825;17799100;33324725
28-04-24 05:14;51123825;17799096;33324729
28-04-24 05:19;51123825;17799101;33324724
28-04-24 05:24;51123825;17799102;33324723
28-04-24 05:29;51123825;17799102;33324723
28-04-24 05:34;51123825;17799105;33324720
28-04-24 05:39;51123825;17799105;33324720
28-04-24 05:44;51123825;17803186;33320639
28-04-24 05:49;51123825;17798866;33324959
28-04-24 05:54;51123825;17798867;33324958
28-04-24 05:59;51123825;17798867;33324958
28-04-24 06:04;51123825;17798873;33324952
28-04-24 06:09;51123825;17798869;33324956
28-04-24 06:14;51123825;17941722;33182103
28-04-24 06:19;51123825;17941722;33182103
28-04-24 06:24;51123825;17941723;33182102
28-04-24 06:29;51123825;17941723;33182102
28-04-24 06:34;51123825;17941724;33182101
28-04-24 06:39;51123825;17941724;33182101
28-04-24 06:44;51123825;17941726;33182099
28-04-24 06:49;51123825;17941726;33182099
28-04-24 06:54;51123825;17941729;33182096
28-04-24 06:59;51123825;17941729;33182096
28-04-24 07:04;51123825;17941732;33182093
28-04-24 07:09;51123825;17941731;33182094
28-04-24 07:14;51123825;17941732;33182093
28-04-24 07:19;51123825;17941732;33182093
28-04-24 07:24;51123825;17941733;33182092
28-04-24 07:29;51123825;17941733;33182092
28-04-24 07:34;51123825;17941736;33182089
28-04-24 07:39;51123825;17941736;33182089
28-04-24 07:44;51123825;17941737;33182088
28-04-24 07:49;51123825;17941737;33182088
28-04-24 07:54;51123825;17941739;33182086
28-04-24 07:59;51123825;17941739;33182086
28-04-24 08:04;51123825;17941740;33182085
28-04-24 08:09;51123825;17941740;33182085
28-04-24 08:14;51123825;17941743;33182082
28-04-24 08:19;51123825;17941743;33182082
28-04-24 08:24;51123825;17941744;33182081
28-04-24 08:29;51123825;17941739;33182086
28-04-24 08:34;51123825;17941745;33182080
28-04-24 08:39;51123825;17941745;33182080
28-04-24 08:44;51123825;17941747;33182078
28-04-24 08:49;51123825;17941747;33182078
28-04-24 08:54;51123825;17941748;33182077
28-04-24 08:59;51123825;17941748;33182077
28-04-24 09:04;51123825;17941751;33182074
28-04-24 09:09;51123825;17941751;33182074
28-04-24 09:14;51123825;17941752;33182073
28-04-24 09:19;51123825;17941752;33182073
28-04-24 09:24;51123825;17941754;33182071
28-04-24 09:29;51123825;17941754;33182071
28-04-24 09:34;51123825;17941755;33182070
28-04-24 09:39;51123825;17941755;33182070
28-04-24 09:44;51123825;17941757;33182068
28-04-24 09:49;51123825;17941757;33182068
28-04-24 09:54;51123825;17941759;33182066
28-04-24 09:59;51123825;17941759;33182066
28-04-24 10:04;51123825;17941760;33182065
28-04-24 10:09;51123825;17941760;33182065
28-04-24 10:14;51123825;17941762;33182063
28-04-24 10:19;51123825;17941762;33182063
28-04-24 10:24;51123825;17954532;33169293
28-04-24 10:29;51123825;17954532;33169293
28-04-24 10:34;51123825;17954533;33169292
28-04-24 10:39;51123825;17954533;33169292
28-04-24 10:44;51123825;17954535;33169290
28-04-24 10:49;51123825;17954535;33169290
28-04-24 10:54;51123825;17954536;33169289
28-04-24 10:59;51123825;17954536;33169289
28-04-24 11:04;51123825;17954540;33169285
28-04-24 11:09;51123825;17954540;33169285
28-04-24 11:14;51123825;17954541;33169284
28-04-24 11:19;51123825;17954541;33169284
28-04-24 11:24;51123825;17954543;33169282
28-04-24 11:29;51123825;17954543;33169282
28-04-24 11:34;51123825;17954544;33169281
28-04-24 11:39;51123825;17954544;33169281
28-04-24 11:44;51123825;17954545;33169280
28-04-24 11:49;51123825;17954545;33169280
28-04-24 11:54;51123825;17954548;33169277
28-04-24 11:59;51123825;17954548;33169277
28-04-24 12:04;51123825;17954549;33169276
28-04-24 12:09;51123825;17699505;33424320
28-04-24 12:14;51123825;17961639;33162186
28-04-24 12:19;51123825;17700664;33423161
28-04-24 12:24;51123825;17962844;33160981
28-04-24 12:29;51123825;17701875;33421950
28-04-24 12:34;51123825;17964013;33159812
28-04-24 12:39;51123825;17964013;33159812
28-04-24 12:44;51123825;17965198;33158627
28-04-24 12:49;51123825;17965198;33158627
28-04-24 12:54;51123825;17966367;33157458
28-04-24 12:59;51123825;17966367;33157458
28-04-24 13:04;51123825;17966369;33157456
28-04-24 13:09;51123825;17966369;33157456
28-04-24 13:14;51123825;17966366;33157459
28-04-24 13:19;51123825;17966371;33157454
28-04-24 13:24;51123825;17966373;33157452
28-04-24 13:29;51123825;17966373;33157452
28-04-24 13:34;51123825;17966374;33157451
28-04-24 13:39;51123825;17966374;33157451
28-04-24 13:44;51123825;17966375;33157450
28-04-24 13:49;51123825;17966375;33157450
28-04-24 13:54;51123825;17966378;33157447
28-04-24 13:59;51123825;17966378;33157447
28-04-24 14:04;51123825;17966385;33157440
28-04-24 14:09;51123825;17966380;33157445
28-04-24 14:14;51123825;17966386;33157439
28-04-24 14:19;51123825;17966381;33157444
28-04-24 14:24;51123825;17975995;33147830
28-04-24 14:29;51123825;17974942;33148883
28-04-24 14:34;51123825;17976081;33147744
28-04-24 14:39;51123825;17976081;33147744
28-04-24 14:44;51123825;17978255;33145570
28-04-24 14:49;51123825;17977202;33146623
28-04-24 14:54;51123825;17979392;33144433
28-04-24 14:59;51123825;17978339;33145486
28-04-24 15:04;51123825;17978341;33145484
28-04-24 15:09;51123825;17978371;33145454
28-04-24 15:14;51123825;17978342;33145483
28-04-24 15:19;51123825;17978342;33145483
28-04-24 15:24;51123825;17978345;33145480
28-04-24 15:29;51123825;17978345;33145480
28-04-24 15:34;51123825;17978346;33145479
28-04-24 15:39;51123825;17978346;33145479
28-04-24 15:44;51123825;17978348;33145477
28-04-24 15:49;51123825;17978348;33145477
28-04-24 15:54;51123825;17978349;33145476
28-04-24 15:59;51123825;17978349;33145476
28-04-24 16:04;51123825;17978353;33145472
28-04-24 16:09;51123825;17978353;33145472
28-04-24 16:14;51123825;17978354;33145471
28-04-24 16:19;51123825;17978354;33145471
28-04-24 16:24;51123825;17978355;33145470
28-04-24 16:29;51123825;17978355;33145470
28-04-24 16:34;51123825;17978357;33145468
28-04-24 16:39;51123825;17978357;33145468
28-04-24 16:44;51123825;17989908;33133917
28-04-24 16:49;51123825;17988855;33134970
28-04-24 16:54;51123825;17988856;33134969
28-04-24 16:59;51123825;17988856;33134969
28-04-24 17:04;51123825;17988858;33134967
28-04-24 17:09;51123825;17988858;33134967
28-04-24 17:14;51123825;17988911;33134914
28-04-24 17:19;51123825;17988860;33134965
28-04-24 17:24;51123825;17988862;33134963
28-04-24 17:29;51123825;17988862;33134963
28-04-24 17:34;51123825;17988863;33134962
28-04-24 17:39;51123825;17988863;33134962
28-04-24 17:44;51123825;17988865;33134960
28-04-24 17:49;51123825;17988865;33134960
28-04-24 17:54;51123825;17988866;33134959
28-04-24 17:59;51123825;17988866;33134959
28-04-24 18:04;51123825;17988869;33134956
28-04-24 18:09;51123825;17988869;33134956
28-04-24 18:14;51123825;17988890;33134935
28-04-24 18:19;51123825;17988870;33134955
28-04-24 18:24;51123825;17998197;33125628
28-04-24 18:29;51123825;17997144;33126681
28-04-24 18:34;51123825;17999318;33124507
28-04-24 18:39;51123825;17998265;33125560
28-04-24 18:44;51123825;18000407;33123418
28-04-24 18:49;51123825;17999354;33124471
28-04-24 18:54;51123825;17999357;33124468
28-04-24 18:59;51123825;17999359;33124466
28-04-24 19:04;51123825;17999360;33124465
28-04-24 19:09;51123825;17999360;33124465
28-04-24 19:14;51123825;17999363;33124462
28-04-24 19:19;51123825;17999363;33124462
28-04-24 19:24;51123825;17999364;33124461
28-04-24 19:29;51123825;17999364;33124461
28-04-24 19:34;51123825;17999367;33124458
28-04-24 19:39;51123825;17999367;33124458
28-04-24 19:44;51123825;17999368;33124457
28-04-24 19:49;51123825;17999368;33124457
28-04-24 19:54;51123825;17999369;33124456
28-04-24 19:59;51123825;17999369;33124456
28-04-24 20:04;51123825;17999372;33124453
28-04-24 20:09;51123825;17999372;33124453
28-04-24 20:14;51123825;17999374;33124451
28-04-24 20:19;51123825;17999374;33124451
28-04-24 20:24;51123825;17999376;33124449
28-04-24 20:29;51123825;17999376;33124449
28-04-24 20:34;51123825;17999377;33124448
28-04-24 20:39;51123825;17999377;33124448
28-04-24 20:44;51123825;17999378;33124447
28-04-24 20:49;51123825;17999378;33124447
28-04-24 20:54;51123825;17999381;33124444
28-04-24 20:59;51123825;17999381;33124444
28-04-24 21:04;51123825;17999396;33124429
28-04-24 21:09;51123825;17999383;33124442
28-04-24 21:14;51123825;17748528;33375297
28-04-24 21:19;51123825;18010664;33113161
28-04-24 21:24;51123825;17749700;33374125
28-04-24 21:29;51123825;18011833;33111992
28-04-24 21:34;51123825;18011836;33111989
28-04-24 21:39;51123825;18011837;33111988
28-04-24 21:44;51123825;18011839;33111986
28-04-24 21:49;51123825;18011839;33111986
28-04-24 21:54;51123825;18011840;33111985
28-04-24 21:59;51123825;18011840;33111985
28-04-24 22:04;51123825;18011842;33111983
28-04-24 22:09;51123825;18011842;33111983
28-04-24 22:14;51123825;18011843;33111982
28-04-24 22:19;51123825;18011843;33111982
28-04-24 22:24;51123825;18011976;33111849
28-04-24 22:29;51123825;18011846;33111979
28-04-24 22:34;51123825;18011966;33111859
28-04-24 22:39;51123825;18011847;33111978
28-04-24 22:44;51123825;18011976;33111849
28-04-24 22:49;51123825;18011852;33111973
28-04-24 22:54;51123825;18011968;33111857
28-04-24 22:59;51123825;18011851;33111974
28-04-24 23:04;51123825;18012003;33111822
28-04-24 23:09;51123825;18011854;33111971
28-04-24 23:14;51123825;18011969;33111856
28-04-24 23:19;51123825;18011855;33111970
28-04-24 23:24;51123825;18011969;33111856
28-04-24 23:29;51123825;18011856;33111969
28-04-24 23:34;51123825;18011977;33111848
28-04-24 23:39;51123825;18011858;33111967
28-04-24 23:44;51123825;18011986;33111839
28-04-24 23:49;51123825;18011860;33111965
28-04-24 23:54;51123825;18011806;33112019
28-04-24 23:59;51123825;18011675;33112150
29-04-24 00:04;51123825;18011672;33112153
29-04-24 00:09;51123825;18011677;33112148
29-04-24 00:14;51123825;18011685;33112140
29-04-24 00:19;51123825;18011680;33112145
29-04-24 00:24;51123825;18011681;33112144
29-04-24 00:29;51123825;18011681;33112144
29-04-24 00:34;51123825;18011688;33112137
29-04-24 00:39;51123825;18011684;33112141
29-04-24 00:44;51123825;18011685;33112140
29-04-24 00:49;51123825;18011685;33112140
29-04-24 00:54;51123825;18011686;33112139
29-04-24 00:59;51123825;18011686;33112139
29-04-24 01:04;51123825;18011691;33112134
29-04-24 01:09;51123825;18011688;33112137
29-04-24 01:14;51123825;18011690;33112135
29-04-24 01:19;51123825;18011694;33112131
29-04-24 01:24;51123825;18011695;33112130
29-04-24 01:29;51123825;18011688;33112137
29-04-24 01:34;51123825;18011694;33112131
29-04-24 01:39;51123825;18011694;33112131
29-04-24 01:44;51123825;18011697;33112128
29-04-24 01:49;51123825;18011691;33112134
29-04-24 01:54;51123825;18011697;33112128
29-04-24 01:59;51123825;18011697;33112128
29-04-24 02:04;51123825;18011700;33112125
29-04-24 02:09;51123825;18011700;33112125
29-04-24 02:14;51123825;18011731;33112094
29-04-24 02:19;51123825;18011701;33112124
29-04-24 02:24;51123825;18011702;33112123
29-04-24 02:29;51123825;18011702;33112123
29-04-24 02:34;51123825;18011747;33112078
29-04-24 02:39;51123825;18011704;33112121
29-04-24 02:44;51123825;18011716;33112109
29-04-24 02:49;51123825;18011706;33112119
29-04-24 02:54;51123825;18011731;33112094
29-04-24 02:59;51123825;18011708;33112117
29-04-24 03:04;51123825;18011709;33112116
29-04-24 03:09;51123825;18011709;33112116
29-04-24 03:14;51123825;18011732;33112093
29-04-24 03:19;51123825;18011712;33112113
29-04-24 03:24;51123825;18011714;33112111
29-04-24 03:29;51123825;18011714;33112111
29-04-24 03:34;51123825;18011715;33112110
29-04-24 03:39;51123825;18011715;33112110
29-04-24 03:44;51123825;18011717;33112108
29-04-24 03:49;51123825;18011717;33112108
29-04-24 03:54;51123825;18011718;33112107
29-04-24 03:59;51123825;18011718;33112107
29-04-24 04:04;51123825;18011733;33112092
29-04-24 04:09;51123825;18011722;33112103
29-04-24 04:14;51123825;18011723;33112102
29-04-24 04:19;51123825;18011723;33112102
29-04-24 04:24;51123825;18011725;33112100
29-04-24 04:29;51123825;18011725;33112100
29-04-24 04:34;51123825;18011726;33112099
29-04-24 04:39;51123825;18011726;33112099
29-04-24 04:44;51123825;18011728;33112097
29-04-24 04:49;51123825;18011728;33112097
29-04-24 04:54;51123825;17739988;33383837
29-04-24 04:59;51123825;17740378;33383447
29-04-24 05:04;51123825;17740375;33383450
29-04-24 05:09;51123825;17740519;33383306
29-04-24 05:14;51123825;17740521;33383304
29-04-24 05:19;51123825;17740521;33383304
29-04-24 05:24;51123825;17741034;33382791
29-04-24 05:29;51123825;17741034;33382791
29-04-24 05:34;51123825;17741036;33382789
29-04-24 05:39;51123825;17741036;33382789
29-04-24 05:44;51123825;17741040;33382785
29-04-24 05:49;51123825;17741040;33382785
29-04-24 05:54;51123825;17741041;33382784
29-04-24 05:59;51123825;17741041;33382784
29-04-24 06:04;51123825;17742073;33381752
29-04-24 06:09;51123825;17742067;33381758
29-04-24 06:14;51123825;17742119;33381706
29-04-24 06:19;51123825;17742069;33381756
29-04-24 06:24;51123825;17742066;33381759
29-04-24 06:29;51123825;17742071;33381754
29-04-24 06:34;51123825;17742072;33381753
29-04-24 06:39;51123825;17742072;33381753
29-04-24 06:44;51123825;17742073;33381752
29-04-24 06:49;51123825;17742073;33381752
29-04-24 06:54;51123825;17742076;33381749
29-04-24 06:59;51123825;17744124;33379701
29-04-24 07:04;51123825;17744125;33379700
29-04-24 07:09;51123825;17744125;33379700
29-04-24 07:14;51123825;17744122;33379703
29-04-24 07:19;51123825;17744127;33379698
29-04-24 07:24;51123825;17744128;33379697
29-04-24 07:29;51123825;17744128;33379697
29-04-24 07:34;51123825;17744131;33379694
29-04-24 07:39;51123825;17744131;33379694
29-04-24 07:44;51123825;17744132;33379693
29-04-24 07:49;51123825;17744132;33379693
29-04-24 07:54;51123825;17744133;33379692
29-04-24 07:59;51123825;17744133;33379692
29-04-24 08:04;51123825;17744135;33379690
29-04-24 08:09;51123825;17744135;33379690
29-04-24 08:14;51123825;17744132;33379693
29-04-24 08:19;51123825;17744137;33379688
29-04-24 08:24;51123825;17744140;33379685
29-04-24 08:29;51123825;17744140;33379685
29-04-24 08:34;51123825;17744141;33379684
29-04-24 08:39;51123825;17744141;33379684
29-04-24 08:44;51123825;17748239;33375586
29-04-24 08:49;51123825;17748239;33375586
29-04-24 08:54;51123825;17748240;33375585
29-04-24 08:59;51123825;17748240;33375585
29-04-24 09:04;51123825;17748258;33375567
29-04-24 09:09;51123825;17748244;33375581
29-04-24 09:14;51123825;17748245;33375580
29-04-24 09:19;51123825;17748245;33375580
29-04-24 09:24;51123825;17746006;33377819
29-04-24 09:29;51123825;17746107;33377718
29-04-24 09:34;51123825;17746104;33377721
29-04-24 09:39;51123825;17746104;33377721
29-04-24 09:44;51123825;17746106;33377719
29-04-24 09:49;51123825;17746106;33377719
29-04-24 09:54;51123825;17746107;33377718
29-04-24 09:59;51123825;17748155;33375670
29-04-24 10:04;51123825;17748157;33375668
29-04-24 10:09;51123825;17748157;33375668
29-04-24 10:14;51123825;17748159;33375666
29-04-24 10:19;51123825;17748159;33375666
29-04-24 10:24;51123825;17748161;33375664
29-04-24 10:29;51123825;17748161;33375664
29-04-24 10:34;51123825;17748162;33375663
29-04-24 10:39;51123825;17748162;33375663
29-04-24 10:44;51123825;17748164;33375661
29-04-24 10:49;51123825;17748164;33375661
29-04-24 10:54;51123825;17748165;33375660
29-04-24 10:59;51123825;17748165;33375660
29-04-24 11:04;51123825;17752263;33371562
29-04-24 11:09;51123825;17752264;33371561
29-04-24 11:14;51123825;17752265;33371560
29-04-24 11:19;51123825;17752265;33371560
29-04-24 11:24;51123825;17752266;33371559
29-04-24 11:29;51123825;17751952;33371873
29-04-24 11:34;51123825;17751983;33371842
29-04-24 11:39;51123825;17751950;33371875
29-04-24 11:44;51123825;17751952;33371873
29-04-24 11:49;51123825;17751952;33371873
29-04-24 11:54;51123825;17751958;33371867
29-04-24 11:59;51123825;17757046;33366779
29-04-24 12:04;51123825;17748979;33374846
29-04-24 12:09;51123825;17748984;33374841
29-04-24 12:14;51123825;17749113;33374712
29-04-24 12:19;51123825;17749113;33374712
29-04-24 12:24;51123825;17749370;33374455
29-04-24 12:29;51123825;17749370;33374455
29-04-24 12:34;51123825;17749375;33374450
29-04-24 12:39;51123825;17749502;33374323
29-04-24 12:44;51123825;17749378;33374447
29-04-24 12:49;51123825;17749891;33373934
29-04-24 12:54;51123825;17749889;33373936
29-04-24 12:59;51123825;17749894;33373931
29-04-24 13:04;51123825;17749890;33373935
29-04-24 13:09;51123825;17749895;33373930
29-04-24 13:14;51123825;17750634;33373191
29-04-24 13:19;51123825;17750634;33373191
29-04-24 13:24;51123825;17750635;33373190
29-04-24 13:29;51123825;17750635;33373190
29-04-24 13:34;51123825;17750636;33373189
29-04-24 13:39;51123825;17750636;33373189
29-04-24 13:44;51123825;17750633;33373192
29-04-24 13:49;51123825;17750638;33373187
